ingredient,ingredient_key,product_occurrences,egg,fish,milk,peanut,sesame,shellfish,soy,tree_nut,wheat,vegan,vegetarian,pescatarian,gluten_free,egg_safe_products,fish_safe_products,milk_safe_products,peanut_safe_products,sesame_safe_products,shellfish_safe_products,soy_safe_products,tree_nut_safe_products,wheat_safe_products,vegan_safe_products,vegetarian_safe_products,pescatarian_safe_products,gluten_free_safe_products,egg_violates_products,fish_violates_products,milk_violates_products,peanut_violates_products,sesame_violates_products,shellfish_violates_products,soy_violates_products,tree_nut_violates_products,wheat_violates_products,vegan_violates_products,vegetarian_violates_products,pescatarian_violates_products,gluten_free_violates_products
petrolatum,petrolatum,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,13,15,16,16,16,16,14,15,10,13,13,15,0,6,1,0,0,0,0,2,1,6,3,3,1
PGPR,pgpr,659,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,604,649,24,400,659,659,20,545,347,23,649,649,308,55,636,635,259,0,0,639,114,312,636,10,10,351
Pharmaceutical Glaze,pharmaceutical glaze,75,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,75,59,71,75,75,75,70,74,75,49,59,59,71,0,26,4,0,0,0,5,1,0,26,16,16,4
Phenoxyethanol,phenoxyethanol,87,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,87,78,83,87,87,87,81,67,86,64,78,78,86,0,23,4,0,0,0,6,20,1,23,9,9,1
Phenylalanine*,phenylalanine,271,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,264,83,190,258,264,270,260,232,263,72,83,85,268,7,199,81,13,7,1,11,39,8,199,188,186,3
Phenylephrine HCl,phenylephrine hcl,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,14,16,16,16,16,14,16,16,14,14,14,16,0,2,0,0,0,0,2,0,0,2,2,2,0
Phenylketonurics: Contains Phenylalanine,phenylketonurics contains phenylalanine,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,38,29,38,38,38,38,31,36,38,28,29,29,38,0,10,0,0,0,0,7,2,0,10,9,9,0
PHOSPHATE,phosphate,61,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,54,27,30,61,54,58,25,56,25,15,27,27,26,7,46,31,0,7,3,36,5,36,46,34,34,35
Phosphated Mono And Diglycerides,phosphated mono and diglycerides,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,14,19,22,21,20,9,20,15,10,14,17,15,5,13,4,1,2,3,14,3,8,13,9,6,8
Phosphatidyl Choline,phosphatidyl choline,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,8,14,14,14,14,9,13,14,8,8,8,14,0,6,0,0,0,0,5,1,0,6,6,6,0
Phosphatidylcholine (from sunflower lecithin),phosphatidylcholine,45,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,45,30,44,45,45,44,23,42,44,29,30,31,45,0,16,1,0,0,1,22,3,1,16,15,14,0
Phosphatidylserine,phosphatidylserine,53,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,53,35,53,53,53,53,34,50,53,35,35,39,53,0,18,0,0,0,0,19,3,0,18,18,14,0
Phospholipids,phospholipids,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,6,21,21,21,11,20,21,21,6,6,8,20,0,15,0,0,0,10,1,0,0,15,15,13,1
Phosphoric Acid,phosphoric acid,3282,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1988,3126,1728,3146,3021,3280,1675,3018,2287,1586,3126,3157,2264,1294,1696,1554,136,261,2,1607,264,995,1696,156,125,1018
"Phosphorous (Ferric Orthophosphate, Magnesium Phosphate)",phosphorous,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,10,7,12,11,12,8,11,12,6,10,10,12,0,6,5,0,1,0,4,1,0,6,2,2,0
"Phosphorus (as Potassium Phosphate, Dicalcium Phosphate)",phosphorus,258,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,255,202,199,251,258,258,225,214,245,159,202,205,253,3,99,59,7,0,0,33,44,13,99,56,53,5
Phycocyanin,phycocyanin,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllanthus Amarus ( Whole Plant ),phyllanthus amarus,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylloquinone,phylloquinone,368,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,365,310,63,365,368,368,76,234,366,35,310,338,364,3,333,305,3,0,0,292,134,2,333,58,30,4
Phytase (pH 2-7),phytase,123,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,123,114,117,123,83,123,122,117,99,110,114,114,120,0,13,6,0,40,0,1,6,24,13,9,9,3
Phytonadione,phytonadione,330,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,320,248,142,313,330,330,139,296,319,64,248,253,318,10,266,188,17,0,0,191,34,11,266,82,77,12
"Phytosterol Complex ( 40% , Beta Sitosterol )",phytosterol complex,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,10,11,11,11,11,7,11,11,10,10,10,11,0,1,0,0,0,0,4,0,0,1,1,1,0
Pickled Garlic,pickled garlic,22,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,22,21,21,21,21,22,19,21,19,21,21,22,19,0,1,1,1,1,0,3,1,3,1,1,0,3
Pickled Red Chili,pickled red chili,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,8,15,15,13,10,8,13,10,8,8,13,11,4,7,0,0,2,5,7,2,5,7,7,2,4
"Pickled Red Chilli (24%) (Red Chilli, Salt)",pickled red chilli,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigeon Peas,pigeon peas,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,15,15,16,16,16,15,16,15,15,15,15,15,0,1,1,0,0,0,1,0,1,1,1,1,1
Pimento,pimento,74,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,61,68,62,73,69,74,60,72,70,55,68,69,70,13,19,12,1,5,0,14,2,4,19,6,5,4
"PIMENTO PASTE (PIMENTO, SODIUM ALGINATE, AND GUAR GUM (GELING AGENT))",pimento paste,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,18,19,20,20,20,13,20,19,18,18,18,19,0,2,1,0,0,0,7,0,1,2,2,2,1
Pimentos,pimentos,102,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,42,76,36,102,101,100,29,100,90,25,76,82,91,60,77,66,0,1,2,73,2,12,77,26,20,11
PIMIENTO,pimiento,45,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,44,44,43,45,43,44,43,45,44,43,44,44,44,1,2,2,0,2,1,2,0,1,2,1,1,1
PIMIENTOS,pimientos,72,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,48,63,48,72,72,71,48,70,69,46,63,67,70,24,26,24,0,0,1,24,2,3,26,9,5,2
pine bark extract,pine bark extract,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,14,19,20,20,20,18,20,20,14,14,14,20,0,6,1,0,0,0,2,0,0,6,6,6,0
Pine Nuts,pine nuts,233,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,202,169,92,196,220,233,192,115,199,92,169,171,199,31,141,141,37,13,0,41,118,34,141,64,62,34
PINEAPPLE,pineapple,1570,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1471,1436,1343,1546,1541,1562,1389,1336,1405,1235,1436,1450,1407,99,335,227,24,29,8,181,234,165,335,134,120,163
PINEAPPLE AND ORANGE JUICES FROM CONCENTRATE,pineapple and orange juices from concentrate,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Pineapple Chunks,pineapple chunks,30,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,25,28,29,30,30,29,28,28,25,25,25,28,2,5,2,1,0,0,1,2,2,5,5,5,2
Pineapple Concentrate,pineapple concentrate,44,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,44,39,41,44,42,44,31,35,40,37,39,43,39,0,7,3,0,2,0,13,9,4,7,5,1,5
Pineapple Extract,pineapple extract,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,16,16,14,16,13,13,14,16,16,16,14,0,0,0,0,2,0,3,3,2,0,0,0,2
Pineapple Flavor,pineapple flavor,57,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,55,52,50,57,56,57,48,50,51,46,52,53,51,2,11,7,0,1,0,9,7,6,11,5,4,6
Pineapple Fruit,pineapple fruit,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,23,20,23,23,23,23,21,21,23,20,20,20,23,0,3,0,0,0,0,2,2,0,3,3,3,0
pineapple fruit powder,pineapple fruit powder,40,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,40,37,40,40,40,40,39,38,34,37,37,37,38,0,3,0,0,0,0,1,2,6,3,3,3,2
PINEAPPLE IN PINEAPPLE JUICE,pineapple in pineapple juice,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,7,8,9,9,9,7,9,9,7,7,7,9,0,2,1,0,0,0,2,0,0,2,2,2,0
Pineapple Juice (10%),pineapple juice,661,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,644,562,632,660,639,658,549,586,589,535,562,576,598,17,126,29,1,22,3,112,75,72,126,99,85,63
PINEAPPLE JUICE AND CITRIC ACID,pineapple juice and citric acid,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Pineapple Juice Concentrate,pineapple juice concentrate,842,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,784,624,764,840,740,839,574,762,690,542,624,658,683,58,300,78,2,102,3,268,80,152,300,218,184,159
"PINEAPPLE JUICE FROM CONCENTRATE (FILTERED WATER, CONCENTRATED PINEAPPLE JUICE)",pineapple juice from concentrate,191,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,191,188,183,191,191,191,177,173,173,180,188,190,180,0,11,8,0,0,0,14,18,18,11,3,1,11
"Pineapple Juice Powder (Corn Syrup Solids,Pineapple Juice Solids)",pineapple juice powder,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,20,25,28,25,28,19,26,16,19,20,21,21,0,9,3,0,3,0,9,2,12,9,8,7,7
Pineapple Juices from Concentrate,pineapple juices from concentrate,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,10,12,12,12,12,12,12,10,12,12,12,0,2,2,0,0,0,0,0,0,2,0,0,0
PINEAPPLE POWDER,pineapple powder,110,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,110,23,108,110,103,110,48,104,67,23,23,24,71,0,87,2,0,7,0,62,6,43,87,87,86,39
Pineapple Puree,pineapple puree,36,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,35,30,31,36,35,35,30,28,30,25,30,33,30,1,11,5,0,1,1,6,8,6,11,6,3,6
Pineapple Puree Concentrate,pineapple puree concentrate,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
PINEAPPLE SEGMENTS,pineapple segments,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,20,28,28,28,28,28,28,28,20,20,20,28,0,8,0,0,0,0,0,0,0,8,8,8,0
Pineapple Syrup,pineapple syrup,45,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,40,43,39,45,43,45,24,45,42,38,43,45,42,5,7,6,0,2,0,21,0,3,7,2,0,3
PINEAPPLE TIDBITS,pineapple tidbits,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,9,14,14,13,14,9,14,9,9,9,9,9,1,5,0,0,1,0,5,0,5,5,5,5,5
Pineapples,pineapples,106,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,104,102,97,102,105,106,101,95,99,95,102,103,99,2,11,9,4,1,0,5,11,7,11,4,3,7
Pink,pink,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,7,7,7,7,7,6,6,6,6,7,7,6,1,1,0,0,0,0,1,1,1,1,0,0,1
PINK BEANS,pink beans,58,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,57,32,56,58,58,58,37,57,54,32,32,33,51,1,26,2,0,0,0,21,1,4,26,26,25,7
Pink Grapefruit Juice Concentrate,pink grapefruit juice concentrate,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,12,13,13,13,12,13,13,12,13,13,13,0,1,1,0,0,0,1,0,0,1,0,0,0
Pink Guava Puree,pink guava puree,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,10,12,12,12,12,7,12,10,12,12,12,0,2,2,0,0,0,0,5,0,2,0,0,0
PINK HIMALAYAN ROCK SALT,pink himalayan rock salt,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Himalayan Salt,pink himalayan salt,273,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,267,270,250,255,256,273,265,104,266,249,270,271,269,6,24,23,18,17,0,8,169,7,24,3,2,4
Pink Himalayan Sea Salt,pink himalayan sea salt,84,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,84,71,76,75,81,84,76,52,84,64,71,71,83,0,20,8,9,3,0,8,32,0,20,13,13,1
Pink Peppercorn (Certified Organic),pink peppercorn,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,9,9,10,10,10,10,10,9,9,9,9,9,0,1,1,0,0,0,0,0,1,1,1,1,1
pink peppercorns,pink peppercorns,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,30,33,32,35,35,35,32,29,35,27,33,35,35,5,8,3,0,0,0,3,6,0,8,2,0,0
Pink salt,pink salt,107,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,106,105,106,95,106,107,107,29,106,104,105,107,106,1,3,1,12,1,0,0,78,1,3,2,0,1
Pinot Grigio,pinot grigio,33,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinot Grigio wine,pinot grigio wine,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,6,7,7,7,7,7,7,6,7,7,7,0,1,1,0,0,0,0,0,0,1,0,0,0
Pinot Noir,pinot noir,58,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,28,28,29,29,29,29,28,28,28,28,28,28,1,1,1,0,0,0,0,1,1,1,1,1,1
Pinot Noir wine,pinot noir wine,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,9,8,12,13,13,12,12,12,8,9,9,12,1,5,5,1,0,0,1,1,1,5,4,4,1
Pinto Beans,pinto beans,352,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,350,220,288,347,349,352,215,344,267,188,220,220,255,2,164,64,5,3,0,137,8,85,164,132,132,97
"Piperine (from Black Pepper, Piper nigrum, fruit extract)",piperine,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,9,12,15,15,15,15,15,15,6,9,9,15,0,9,3,0,0,0,0,0,0,9,6,6,0
Piquillo Pepper,piquillo pepper,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,9,10,10,9,9,10,10,10,9,0,0,0,0,1,0,0,1,1,0,0,0,1
Piquillo Peppers,piquillo peppers,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,18,19,20,20,20,19,20,20,17,18,20,20,1,3,1,0,0,0,1,0,0,3,2,0,0
Pistachio (7%),pistachio,77,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,57,75,25,52,71,77,32,10,32,21,75,75,32,20,56,52,25,6,0,45,67,45,56,2,2,45
Pistachios,pistachios,572,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,533,552,461,408,553,571,441,11,521,446,552,554,521,38,125,110,163,18,0,130,560,50,125,19,17,50
Pitted California Prunes,pitted california prunes,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
pitted dates,pitted dates,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,21,21,20,21,21,21,18,21,18,21,21,21,3,3,0,1,0,0,0,3,0,3,0,0,0
PITTED GREEN OLIVES,pitted green olives,42,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,42,32,29,42,41,42,40,39,39,28,32,33,39,0,14,13,0,1,0,2,3,3,14,10,9,3
PITTED KALAMATA OLIVES,pitted kalamata olives,33,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,33,25,18,33,28,33,31,31,31,18,25,25,30,0,15,15,0,5,0,2,2,2,15,8,8,3
Pitted Olives,pitted olives,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,23,18,13,23,23,23,23,23,23,13,18,18,23,0,10,10,0,0,0,0,0,0,10,5,5,0
Pitted Organic Medjool Dates,pitted organic medjool dates,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitted Prunes (Dried Plums),pitted prunes,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,35,35,35,35,35,35,34,35,35,35,35,35,35,0,0,0,0,0,0,1,0,0,0,0,0,0
Plant Based Cellulose ( Capsule ),plant based cellulose,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant cellulose,plant cellulose,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,41,39,40,41,40,41,39,41,41,38,39,39,41,0,3,1,0,1,0,2,0,0,3,2,2,0
Plant Derived Capsule,plant derived capsule,93,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,93,88,93,93,93,93,91,89,93,88,88,88,93,0,5,0,0,0,0,2,4,0,5,5,5,0
Plant Fiber,plant fiber,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
plant-based magnesium stearate,plant based magnesium stearate,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,8,9,9,9,9,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0
Plantain (leaf),plantain,70,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,70,62,69,68,68,67,65,68,59,62,62,63,64,0,8,1,2,2,3,5,2,11,8,8,7,6
"Plantain Chips (Plantain, Non Hydrogenated Palm Oil, Salt)",plantain chips,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,6,8,8,8,6,8,8,6,8,8,8,0,2,2,0,0,0,2,0,0,2,0,0,0
Plantains,plantains,153,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,151,151,150,151,150,153,147,132,152,148,151,151,152,2,5,3,2,3,0,6,21,1,5,2,2,1
PLANTARUM,plantarum,26,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,26,26,12,26,26,26,26,15,26,12,26,26,26,0,14,14,0,0,0,0,11,0,14,0,0,0
Platycodon Root,platycodon root,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum,plum,256,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,254,233,90,255,255,253,93,234,240,60,233,234,244,2,196,166,1,1,3,163,22,16,196,23,22,12
Plum Fruit Powder,plum fruit powder,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,15,15,15,15,15,15,14,15,15,15,15,15,0,0,0,0,0,0,0,1,0,0,0,0,0
Plum Juice,plum juice,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,8,9,8,9,8,9,9,9,8,0,0,0,0,1,0,1,0,1,0,0,0,1
Plum Juice Concentrate,plum juice concentrate,57,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,55,46,48,54,53,56,36,38,54,27,46,47,54,2,30,9,3,4,1,21,19,3,30,11,10,3
Plum Puree,plum puree,48,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,29,41,47,47,47,48,18,47,40,21,41,43,40,19,27,1,1,1,0,30,1,8,27,7,5,8
Plum Tomatoes,plum tomatoes,39,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,39,36,30,39,38,39,37,39,37,29,36,36,37,0,10,9,0,1,0,2,0,2,10,3,3,2
Plums,plums,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,32,36,26,35,38,38,32,34,21,25,36,37,21,6,13,12,3,0,0,6,4,17,13,2,1,17
POBLANO PEPPER,poblano pepper,57,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,43,40,30,57,57,56,41,56,48,24,40,40,48,14,33,27,0,0,1,16,1,9,33,17,17,9
Poblano Peppers,poblano peppers,139,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,127,69,70,139,138,134,110,136,112,46,69,71,109,12,93,69,0,1,5,29,3,27,93,70,68,30
policosanol,policosanol,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,15,19,19,19,18,15,19,15,14,15,16,17,0,5,0,0,0,1,4,0,4,5,4,3,2
Poloxamer 407,poloxamer 407,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyacrylic Acid,polyacrylic acid,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyalditol,polyalditol,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,7,8,8,8,8,8,8,7,8,8,8,0,1,1,0,0,0,0,0,0,1,0,0,0
Polydextrose,polydextrose,1291,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1125,997,401,1081,1266,1287,545,865,1046,254,997,1007,1056,166,1037,890,210,25,4,746,426,245,1037,294,284,235
Polyethylene,polyethylene,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,10,11,10,11,11,11,0,1,0,0,0,0,0,1,0,1,0,0,0
Polyethylene Glycol,polyethylene glycol,641,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,641,379,584,641,641,622,605,639,641,326,379,394,641,0,315,57,0,0,19,36,2,0,315,262,247,0
Polyethylene Glycol 3350,polyethylene glycol 3350,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,14,15,17,17,17,13,17,17,14,14,14,17,0,3,2,0,0,0,4,0,0,3,3,3,0
Polyethylene Glycol 6000,polyethylene glycol 6000,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,7,9,9,9,9,9,9,7,9,9,9,0,2,2,0,0,0,0,0,0,2,0,0,0
Polyglycerol Esters Of Fatty Acids,polyglycerol esters of fatty acids,931,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,242,803,121,822,760,918,44,499,99,58,803,818,98,689,873,810,109,171,13,887,432,832,873,128,113,833
POLYGLYCEROL RICINOLEATE,polyglycerol ricinoleate,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyglycitol Syrup,polyglycitol syrup,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,22,20,22,20,23,23,17,22,22,19,20,20,22,1,4,1,3,0,0,6,1,1,4,3,3,1
Polygonum cuspidatum root extract (50% resveratrol),polygonum cuspidatum root extract,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
polyphenols,polyphenols,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,38,16,37,38,38,38,36,38,36,14,16,16,38,0,24,1,0,0,0,2,0,2,24,22,22,0
Polyplasdone,polyplasdone,27,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,27,19,27,27,27,20,27,27,27,19,19,25,27,0,8,0,0,0,7,0,0,0,8,8,2,0
Polysorbate,polysorbate,84,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,77,58,72,84,83,76,60,78,61,45,58,64,61,7,39,12,0,1,8,24,6,23,39,26,20,23
Polysorbate 20,polysorbate 20,60,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,46,55,47,59,60,60,47,51,44,41,55,55,44,14,19,13,1,0,0,13,9,16,19,5,5,16
Polysorbate 60,polysorbate 60,4585,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1506,4324,883,4280,4221,4582,632,3582,1075,601,4324,4343,1067,3079,3984,3702,305,364,3,3953,1003,3510,3984,261,242,3518
